epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
21,2026-06-18 11:59:51,52.15,1.0,6,5,1.0,0.999231,0.002884,0.999439,0.001782,0.998095,0.999321,0.00306,1.0,0.002849,0.275964,67.75454,0.35108,0.006976,0.010857,0.024544,0.056907,0.015301,0.03422,0.227079,0.993768,0.999512,0.986321,0.99242,5.0,6.0,0.999597,0.002244,0.999695,0.001654,0.998767,0.999353,0.003461,1.0,0.002471,0.186387,61.766483,0.141096,0.004493,0.009628,0.011804,0.020824,0.010256,0.018575,0.143142,0.998828,1.0,0.995703,0.996875,5.0,6.0
22,2026-06-18 12:00:43,51.97,1.0,6,5,1.0,0.99973,0.002013,0.99964,0.001379,0.999003,0.999605,0.002133,1.0,0.00255,0.259795,63.655505,0.264941,0.003932,0.011694,0.02175,0.03835,0.015762,0.026825,0.187876,0.996206,0.999823,0.991968,0.995674,5.0,6.0,0.990918,0.014847,0.988159,0.015034,0.974402,0.991016,0.013633,1.0,0.003307,0.227664,60.947763,1.481181,0.117577,0.010728,0.032646,0.19546,0.018776,0.092286,0.666596,0.976641,0.988672,0.961016,0.985547,5.0,6.0
23,2026-06-18 12:01:34,51.19,1.0,6,5,1.0,0.999474,0.002015,0.999882,0.000875,0.999051,0.999688,0.001937,1.0,0.00326,0.251552,62.110857,0.258102,0.003392,0.012226,0.020439,0.040223,0.015696,0.023001,0.183839,0.995124,1.0,0.99031,0.994965,5.0,6.0,0.999817,0.00221,0.999597,0.001078,0.998523,0.99895,0.002011,1.0,0.002054,0.16226,54.805628,0.176627,0.00566,0.00901,0.009795,0.016124,0.00943,0.014863,0.129472,0.998828,0.999609,0.998047,0.999609,5.0,6.0
24,2026-06-18 12:02:25,50.97,1.0,6,5,1.0,0.999744,0.001581,0.999848,0.000935,0.99921,0.999591,0.001709,1.0,0.002048,0.234435,58.536067,0.21474,0.003583,0.010016,0.016472,0.032806,0.012657,0.018746,0.162249,0.996676,1.0,0.992686,0.995833,5.0,6.0,0.999023,0.001795,0.999573,0.001788,0.998108,0.999451,0.00174,1.0,0.000977,0.143414,58.620069,0.085683,0.005452,0.009654,0.01909,0.029029,0.011311,0.026661,0.150829,0.997656,1.0,0.992969,0.995313,5.0,6.0
25,2026-06-18 12:03:15,50.27,1.0,6,5,1.0,0.999795,0.001068,0.999965,0.000456,0.999597,0.999837,0.001021,1.0,0.001891,0.225797,55.418473,0.163091,0.001631,0.010383,0.020071,0.034773,0.013448,0.024545,0.158977,0.99734,0.999956,0.992633,0.994849,5.0,6.0,0.999475,0.002567,0.998718,0.003153,0.997034,0.998596,0.003947,1.0,0.00158,0.171391,47.786519,0.238264,0.011839,0.009888,0.015823,0.02603,0.011343,0.015318,0.153206,0.996484,1.0,0.994141,0.997656,5.0,6.0
26,2026-06-18 12:04:13,57.46,1.0,8,10,1.5,0.999224,0.002299,0.999813,0.000991,0.998116,0.999023,0.002904,1.0,0.004262,0.255067,58.006964,0.30624,0.006943,0.009221,0.03305,0.087676,0.013521,0.074342,0.340798,0.99207,0.999756,0.984246,0.990337,10.0,8.0,1.0,0.000489,1.0,0.000352,1.0,1.0,0.000616,1.0,0.001635,0.175601,55.267,0.058248,0.000309,0.00982,0.029095,0.054537,0.012234,0.04669,0.229578,0.99168,1.0,0.987227,0.993672,10.0,8.0
27,2026-06-18 12:05:10,57.27,1.0,8,10,1.5,0.999986,0.000641,0.999965,0.000508,0.999882,0.999931,0.000929,1.0,0.002031,0.22888,54.673553,0.164959,0.000666,0.01061,0.022342,0.049943,0.013444,0.037235,0.222737,0.995191,0.999978,0.990027,0.993972,10.0,8.0,1.0,0.000232,1.0,0.000137,1.0,1.0,0.000258,1.0,0.000787,0.137328,50.7655,0.027786,9.4e-05,0.008745,0.006514,0.033841,0.009904,0.033925,0.159204,0.996641,1.0,0.991133,0.993281,10.0,8.0
28,2026-06-18 12:06:07,57.45,1.0,8,10,1.5,0.999785,0.000761,0.999952,0.000293,0.999668,0.999931,0.000724,1.0,0.001622,0.21048,50.263905,0.15656,0.001159,0.011109,0.017618,0.037445,0.013341,0.029293,0.188856,0.99754,1.0,0.993839,0.995612,10.0,8.0,0.999878,0.00065,0.999817,0.000673,0.999695,1.0,0.000957,1.0,0.0008,0.130336,51.752635,0.079732,0.001154,0.01312,0.016427,0.066508,0.015027,0.058074,0.244789,0.998047,1.0,0.98457,0.986133,10.0,8.0
29,2026-06-18 12:07:05,57.24,1.0,8,10,1.5,0.999494,0.001726,0.99955,0.001177,0.998442,0.999335,0.002183,1.0,0.002219,0.206356,51.322921,0.264157,0.005684,0.010374,0.019594,0.055848,0.012982,0.037725,0.238886,0.995324,0.999645,0.990545,0.993981,10.0,8.0,0.994373,0.009679,0.99436,0.007656,0.987317,0.996326,0.008308,1.0,0.001454,0.175349,47.553518,0.97359,0.05015,0.0099,0.027173,0.101753,0.01218,0.110434,0.484425,0.990937,0.999805,0.985742,0.991094,10.0,8.0
30,2026-06-18 12:08:02,57.31,1.0,8,10,1.5,0.99919,0.002519,0.99904,0.002093,0.997138,0.998784,0.003376,1.0,0.002337,0.202476,53.522544,0.355412,0.011262,0.010294,0.016799,0.062083,0.012421,0.043636,0.267679,0.997252,0.998759,0.992642,0.994614,10.0,8.0,0.994165,0.007118,0.987085,0.01407,0.978882,0.993445,0.008642,1.0,0.003158,0.186709,45.281427,1.416074,0.097858,0.008708,0.04735,0.246959,0.014002,0.275281,0.958687,0.988555,0.991016,0.974414,0.985547,10.0,8.0
