epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
21,2026-06-19 12:16:02,34.17,1.0,6,5,1.0,0.998892,0.003885,0.998999,0.00337,0.996754,0.998684,0.004039,1.0,0.016666,0.523076,18.362449,1.746931,0.013227,0.01284,0.043707,0.101433,0.017096,0.075059,0.478109,0.990027,0.999867,0.979743,0.989051,5.0,6.0,0.999207,0.002844,0.997974,0.0031,0.996997,0.999634,0.003392,1.0,0.004108,0.215912,16.586381,0.533802,0.008978,0.013092,0.024101,0.051007,0.013563,0.039821,0.313615,0.997266,1.0,0.988281,0.991016,5.0,6.0
22,2026-06-19 12:16:37,34.25,1.0,6,5,1.0,0.999778,0.001931,0.999841,0.001432,0.999432,0.999813,0.002075,1.0,0.016403,0.529304,15.984228,1.442316,0.00232,0.014361,0.042056,0.085553,0.018617,0.054898,0.401698,0.990957,0.999645,0.982216,0.991082,5.0,6.0,0.999939,0.000762,1.0,0.000556,0.999939,1.0,0.000729,1.0,0.004585,0.203935,16.358876,0.252744,0.0005,0.013622,0.026281,0.051052,0.015359,0.047621,0.293907,0.996484,1.0,0.992578,0.994531,5.0,6.0
23,2026-06-19 12:17:11,34.18,1.0,6,5,1.0,0.998832,0.00331,0.999465,0.001767,0.997314,0.998816,0.003119,1.0,0.015569,0.513402,15.979241,1.495615,0.013375,0.012011,0.042662,0.093625,0.015714,0.067432,0.435001,0.990869,0.999246,0.981348,0.989592,5.0,6.0,0.993298,0.0109,0.997888,0.00343,0.976025,0.983582,0.013622,1.0,0.006183,0.214266,14.966306,1.129018,0.13701,0.021509,0.024481,0.086391,0.019991,0.082874,0.630364,0.993359,1.0,0.984375,0.990625,5.0,6.0
24,2026-06-19 12:17:45,34.29,1.0,6,5,1.0,0.998636,0.004494,0.998594,0.003656,0.996218,0.998698,0.003949,1.0,0.017086,0.497546,15.215641,1.551697,0.014923,0.012016,0.042086,0.072612,0.014928,0.054901,0.402493,0.99375,0.999645,0.985949,0.991888,5.0,6.0,0.998181,0.002469,0.999939,0.000976,0.996814,0.998096,0.002849,1.0,0.004163,0.180569,14.51717,0.361375,0.017948,0.009095,0.020175,0.040554,0.009749,0.026964,0.281147,0.997031,1.0,0.994688,0.997656,5.0,6.0
25,2026-06-19 12:18:20,34.18,1.0,6,5,1.0,0.997361,0.004609,0.999255,0.002392,0.994963,0.99825,0.003992,1.0,0.017115,0.504489,14.75757,1.53049,0.026584,0.011855,0.03595,0.105354,0.015313,0.068278,0.457989,0.990559,0.999246,0.982846,0.991534,5.0,6.0,0.999756,0.001285,0.999939,0.000967,0.999451,0.999756,0.001563,1.0,0.002934,0.171932,12.418677,0.259964,0.002125,0.010387,0.018518,0.036455,0.011886,0.018177,0.217649,0.998438,1.0,0.993359,0.994531,5.0,6.0
26,2026-06-19 12:18:59,39.03,1.0,8,10,1.5,0.999543,0.001907,0.999467,0.002307,0.99858,0.999487,0.002259,1.0,0.017158,0.54471,12.651021,1.368745,0.005123,0.013515,0.041831,0.104855,0.017394,0.086298,0.496931,0.99113,1.0,0.983285,0.989672,10.0,8.0,0.999719,0.001029,0.998621,0.003238,0.998279,0.999817,0.00102,1.0,0.003548,0.198945,11.220649,0.299055,0.004653,0.009563,0.026999,0.05324,0.011039,0.037722,0.289913,0.997539,1.0,0.992656,0.99375,10.0,8.0
27,2026-06-19 12:19:38,39.1,1.0,8,10,1.5,0.999778,0.001417,0.999536,0.001984,0.999079,0.999695,0.001673,1.0,0.015529,0.528356,11.680719,1.12451,0.003888,0.013843,0.039325,0.093125,0.016861,0.072629,0.447787,0.992598,0.999535,0.987163,0.992637,10.0,8.0,0.999939,0.000543,0.999939,0.000655,0.999878,1.0,0.000861,1.0,0.002414,0.187194,11.581105,0.140571,0.000591,0.010694,0.021609,0.02311,0.011417,0.019043,0.218311,0.99793,1.0,0.996172,0.998242,10.0,8.0
28,2026-06-19 12:20:17,39.08,1.0,8,10,1.5,0.999882,0.00103,0.999875,0.000838,0.999626,0.999855,0.001327,1.0,0.015312,0.503057,11.163973,1.060749,0.001504,0.013852,0.028561,0.064788,0.016326,0.058109,0.372117,0.996277,0.999601,0.991157,0.994127,10.0,8.0,1.0,0.000355,1.0,0.00043,0.999939,0.999939,0.000708,1.0,0.002147,0.16568,9.718086,0.111099,0.000372,0.01185,0.012933,0.014822,0.012264,0.012565,0.173837,0.999023,1.0,0.997734,0.998516,10.0,8.0
29,2026-06-19 12:20:56,39.1,1.0,8,10,1.5,0.999827,0.000938,0.999931,0.000664,0.999702,0.999945,0.000981,1.0,0.016041,0.476615,10.846065,0.978403,0.001304,0.012184,0.028178,0.074012,0.014994,0.061658,0.378844,0.995257,0.999357,0.990953,0.994787,10.0,8.0,1.0,0.000247,1.0,0.000211,1.0,1.0,0.000291,1.0,0.001674,0.152636,10.766765,0.09058,0.000122,0.011801,0.016219,0.046719,0.012855,0.040734,0.253824,0.997266,1.0,0.994023,0.994805,10.0,8.0
30,2026-06-19 12:21:35,39.01,1.0,8,10,1.5,0.999993,0.000563,1.0,0.000361,0.999972,0.999979,0.000587,1.0,0.013575,0.461823,9.313544,0.825269,0.000344,0.009641,0.018731,0.035687,0.011513,0.029194,0.263511,0.997695,1.0,0.995479,0.997012,10.0,8.0,0.999939,0.000368,1.0,0.000133,0.999939,1.0,0.000219,1.0,0.00116,0.150863,8.56363,0.079611,0.000223,0.008483,0.026968,0.102092,0.012128,0.084548,0.353222,0.996289,1.0,0.981055,0.984375,10.0,8.0
