trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
79,1,8,0,5,7,N,7,6,5,0.625,0.0,0.0245187662076205,0.14073004573583603,1.7956180090550333,0.0,0.0
80,1,16,0,3,5,W,8,4,12,0.75,0.0,0.04833749431418255,0.14138883352279663,1.7438914328522515,0.0,0.0
81,1,9,0,3,7,S,5,8,3,0.3333333333333333,0.0,0.03873541702826818,0.13794687059190539,1.8973301177740924,0.0,0.0
82,1,6,0,3,5,N,1,2,5,0.8333333333333334,0.0,0.039541229140013456,0.13755759845177332,1.7658305102183174,0.0,0.0
83,0,80,0,8,7,E,4,3,12,0.0,0.0,0.11252323961816728,0.1353352814912796,1.808314953086665,0.0,0.0
84,0,80,42,5,1,N,7,6,15,0.0,0.0,0.05411271692137234,0.1438544724136591,1.7887313668325078,0.0,0.0
85,1,6,0,1,4,E,3,4,4,0.6666666666666666,0.0,0.04325818084180355,0.13850696881612143,1.8691841590528686,0.0,0.0
86,0,80,0,6,5,E,5,2,12,0.0,0.0,0.123594949580729,0.13756667096167802,1.794419123325497,0.0,0.0
87,1,22,0,8,6,S,1,8,15,0.6818181818181818,0.045454545454545456,0.027747633316638796,0.1400182138789784,1.796827270564708,0.0,0.0
88,1,20,0,5,5,W,5,1,12,0.6,0.0,0.06835124706849456,0.14106524139642715,1.7649049521423876,0.0,0.0
89,0,80,0,3,4,E,8,6,11,0.0,0.0125,0.09867918281815946,0.13761552814394235,1.8464970838977024,0.0,0.0
90,1,15,0,5,5,W,5,3,10,0.6666666666666666,0.0,0.03671066189805667,0.14134553869565328,1.7793727417786915,0.0,0.0
91,1,5,0,4,7,N,3,4,4,0.8,0.0,0.03391832690685988,0.13819701373577117,1.9409714033827186,0.0,0.0
92,1,6,0,3,8,N,7,8,4,0.6666666666666666,0.16666666666666666,0.030914971139281988,0.1378903935352961,1.7763531650416553,0.0,0.0
93,0,80,0,8,3,N,5,5,17,0.0,0.0125,0.046241808123886584,0.13846676908433436,1.811355561221717,0.0,0.0
94,0,80,0,3,5,E,5,5,6,0.0,0.0,0.09980084663257002,0.13771868944168092,1.801873804652132,0.0,0.0
95,1,9,0,1,5,S,6,3,7,0.7777777777777778,0.1111111111111111,0.034581466888388,0.14195050464736092,1.739574007741693,0.0,0.0
96,1,9,0,1,6,N,3,4,4,0.4444444444444444,0.1111111111111111,0.05659070880048805,0.13924538592497507,1.7902785524105032,0.0,0.0
97,0,80,0,6,3,S,7,1,5,0.0,0.0125,0.02915884295362048,0.13788728769868613,1.8032758627668954,0.0,0.0
98,1,5,0,3,6,S,1,5,3,0.6,0.2,0.10960258021950722,0.13931193053722382,1.8106618081219494,0.0,0.0
99,0,80,0,8,4,N,8,7,21,0.0,0.0,0.04572766853962094,0.13809587098658085,1.810145588387968,0.0,0.0
