epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_logvar_coupling,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_logvar_coupling,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
28,2026-06-22 11:08:40,39.75,1.0,8,10,1.5,0.998497,0.003672,0.998368,0.004306,0.995542,0.998331,0.003859,1.0,0.013785,0.745421,9.796221,1.237828,-0.919997,0.020421,0.1658,0.028286,0.081679,0.166421,0.050595,0.585635,0.995324,0.999402,0.990714,0.993994,10.0,8.0,0.999451,0.001685,0.998779,0.002541,0.997437,0.999084,0.0028,1.0,0.002781,0.152847,9.137076,0.385889,0.360145,0.009865,0.024958,0.020272,0.05087,0.026607,0.044443,0.310221,0.997656,1.0,0.991875,0.993633,10.0,8.0
29,2026-06-22 11:09:20,39.77,1.0,8,10,1.5,0.997953,0.004171,0.998888,0.003528,0.995448,0.998257,0.003631,1.0,0.016428,0.743142,9.621698,1.227609,-0.923569,0.020449,0.16607,0.02795,0.085949,0.166819,0.078075,0.611323,0.995035,0.998626,0.990182,0.994171,10.0,8.0,0.990527,0.009952,0.996021,0.006669,0.980054,0.988867,0.008988,1.0,0.003178,0.180198,9.595095,1.583018,0.080551,0.123612,0.023947,0.018551,0.048169,0.024319,0.040588,0.544657,0.996875,1.0,0.992969,0.994727,10.0,8.0
30,2026-06-22 11:09:59,39.61,1.0,8,10,1.5,0.998871,0.003448,0.998518,0.003788,0.996163,0.998476,0.00318,1.0,0.013981,0.741547,8.976783,1.160897,-0.927902,0.015967,0.165645,0.021391,0.066393,0.165961,0.05227,0.539002,0.996498,0.999136,0.993395,0.995878,10.0,8.0,0.999939,0.000944,0.999683,0.001655,0.998828,0.999146,0.001739,1.0,0.001929,0.144435,7.929604,0.268049,-0.566372,0.005069,0.026234,0.009425,0.017973,0.026877,0.011677,0.157559,0.999219,1.0,0.997852,0.998242,10.0,8.0
31,2026-06-22 11:10:39,39.7,1.0,8,10,1.5,0.999702,0.001657,0.999508,0.002233,0.998846,0.999601,0.001449,1.0,0.014157,0.741316,8.08377,0.836663,-0.938695,0.004456,0.165412,0.017931,0.033005,0.165539,0.029013,0.429501,0.997717,0.999978,0.995368,0.997185,10.0,8.0,0.998901,0.002007,0.996204,0.004358,0.994678,0.998779,0.002371,1.0,0.001875,0.138665,7.423402,0.568518,-0.031884,0.022418,0.023716,0.006484,0.007903,0.023722,0.008293,0.195863,0.999805,1.0,0.998633,0.998828,10.0,8.0
32,2026-06-22 11:11:19,39.75,1.0,8,10,1.5,0.99955,0.001566,0.999571,0.001774,0.998788,0.999598,0.001421,1.0,0.012084,0.737142,7.596049,0.755895,-0.944025,0.005514,0.16528,0.019011,0.052344,0.165393,0.035264,0.458153,0.997057,0.999557,0.993577,0.9959,10.0,8.0,0.999048,0.00126,0.999695,0.001048,0.998682,0.999939,0.000598,1.0,0.002552,0.119098,7.103188,0.14969,-0.29957,0.005792,0.022971,0.012768,0.006937,0.023159,0.008007,0.138148,1.0,1.0,0.999609,0.999609,10.0,8.0
33,2026-06-22 11:11:59,39.71,1.0,8,10,1.5,0.999377,0.001728,0.999377,0.001998,0.998546,0.999716,0.001158,1.0,0.012609,0.736842,7.209673,0.731973,-0.945404,0.005795,0.165206,0.017363,0.037347,0.16529,0.031338,0.42764,0.997318,1.0,0.995279,0.99734,10.0,8.0,0.999817,0.001792,0.998035,0.004162,0.996875,0.998865,0.002395,1.0,0.002519,0.125619,6.57637,0.408526,0.067102,0.014829,0.022629,0.012112,0.025207,0.022735,0.025993,0.21502,0.999219,1.0,0.997461,0.997852,10.0,8.0
34,2026-06-22 11:12:39,39.77,1.0,8,10,1.5,0.999363,0.001856,0.999137,0.002425,0.997807,0.999141,0.001898,1.0,0.012969,0.72561,6.88177,0.782086,-0.941485,0.009627,0.165345,0.013921,0.049775,0.165767,0.043818,0.458053,0.996822,0.999801,0.994743,0.996769,10.0,8.0,0.999451,0.001832,0.996301,0.004856,0.9927,0.995789,0.002066,1.0,0.001708,0.118916,7.208045,0.635229,-0.14638,0.052133,0.022398,0.006147,0.011726,0.022412,0.007701,0.25012,0.998633,1.0,0.998047,0.999414,10.0,8.0
35,2026-06-22 11:13:18,39.76,1.0,8,10,1.5,0.999165,0.002069,0.998936,0.002904,0.997637,0.999391,0.001742,1.0,0.011406,0.726156,6.701602,0.789001,-0.940564,0.008766,0.165233,0.011158,0.021212,0.165166,0.012397,0.385311,0.998914,1.0,0.998027,0.998892,10.0,8.0,0.999109,0.001925,0.999048,0.002361,0.997668,0.999451,0.001959,1.0,0.00136,0.099695,6.681543,0.256306,-0.225461,0.010783,0.024429,0.006066,0.019203,0.024713,0.028442,0.178047,0.999414,1.0,0.996484,0.996484,10.0,8.0
36,2026-06-22 11:13:58,39.75,1.0,8,10,1.5,0.999273,0.001876,0.999377,0.002111,0.998172,0.99937,0.001631,1.0,0.011432,0.721781,6.303607,0.678371,-0.948706,0.008225,0.165107,0.010498,0.017814,0.165232,0.015882,0.37421,0.998892,1.0,0.997385,0.998271,10.0,8.0,0.999902,0.000605,0.999817,0.000821,0.999719,1.0,0.000387,1.0,0.000944,0.091612,5.805556,0.076009,0.472749,0.000835,0.022259,0.007004,0.009001,0.022638,0.007818,0.147053,1.0,1.0,0.998633,0.998633,10.0,8.0
37,2026-06-22 11:14:38,39.73,1.0,8,10,1.5,0.999674,0.001153,0.999806,0.001066,0.999404,0.999903,0.000661,1.0,0.009843,0.717841,5.851453,0.534581,-0.955702,0.002473,0.164965,0.011987,0.023038,0.165117,0.016335,0.363223,0.998072,1.0,0.996986,0.998426,10.0,8.0,0.999902,0.000584,1.0,0.000895,0.99978,0.999878,0.0006,1.0,0.000945,0.093412,5.582812,0.080137,-0.243211,0.001049,0.024657,0.004406,0.005961,0.024759,0.006574,0.105067,0.998828,1.0,0.998438,0.999609,10.0,8.0
38,2026-06-22 11:15:18,39.74,1.0,8,10,1.5,0.999771,0.000729,0.999792,0.001037,0.999522,0.999931,0.000527,1.0,0.009183,0.716699,5.641077,0.462977,-0.957771,0.002264,0.164929,0.009582,0.030671,0.165282,0.026483,0.376216,0.998382,0.999823,0.997163,0.99805,10.0,8.0,1.0,0.000464,0.999512,0.00118,0.999512,0.999939,0.000333,1.0,0.001017,0.085331,5.468663,0.11981,0.680861,0.001779,0.019345,0.002977,0.002245,0.019281,0.001943,0.134713,1.0,1.0,1.0,1.0,10.0,8.0
39,2026-06-22 11:15:58,39.91,1.0,8,10,1.5,0.999792,0.000937,0.999661,0.001303,0.999051,0.999536,0.000991,1.0,0.009257,0.714378,5.487984,0.464647,-0.958595,0.004827,0.164978,0.01142,0.022055,0.164913,0.016384,0.360221,0.999003,0.999978,0.997828,0.998404,10.0,8.0,0.999658,0.001145,0.997498,0.00248,0.997217,0.999939,0.000886,1.0,0.001023,0.080331,5.062466,0.509706,0.427016,0.010258,0.020844,0.008139,0.010923,0.02102,0.016688,0.172219,1.0,1.0,0.998242,0.998242,10.0,8.0
40,2026-06-22 11:16:37,39.6,1.0,8,10,1.5,0.999792,0.001008,0.999578,0.001641,0.999037,0.999619,0.000996,1.0,0.009276,0.706201,5.188272,0.46784,-0.961418,0.004019,0.164893,0.008692,0.018526,0.164821,0.012237,0.344157,0.998715,1.0,0.998005,0.998914,10.0,8.0,0.999841,0.000575,0.999658,0.001016,0.999133,0.99939,0.000822,1.0,0.001381,0.070674,5.064143,0.126715,-0.31766,0.007311,0.024446,0.006969,0.002438,0.024307,0.002888,0.1009,0.999805,1.0,0.999805,1.0,10.0,8.0
