epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_logvar_coupling,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_logvar_coupling,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
21,2026-06-22 08:02:04,36.07,1.0,6,5,1.0,0.999266,0.003772,0.999065,0.003814,0.997146,0.998587,0.004415,1.0,0.018064,0.555622,16.559754,1.763598,-0.089128,0.011339,0.054427,0.049087,0.100547,0.056951,0.075978,0.498842,0.99086,0.999291,0.98,0.988918,5.0,6.0,0.999817,0.00142,0.999817,0.002103,0.999207,0.999573,0.002608,1.0,0.004898,0.237994,14.538649,0.4264,-0.177684,0.003859,0.011398,0.026632,0.040382,0.012045,0.023615,0.255245,0.998047,1.0,0.992578,0.994531,5.0,6.0
22,2026-06-22 08:02:40,36.15,1.0,6,5,1.0,0.999474,0.002727,0.999501,0.002347,0.99858,0.999508,0.003055,1.0,0.017316,0.574181,14.956574,1.508975,-0.1103,0.005298,0.054355,0.045341,0.08102,0.056327,0.052806,0.432873,0.992172,0.999734,0.983271,0.990833,5.0,6.0,1.0,0.000991,1.0,0.001106,0.999451,0.999451,0.001316,1.0,0.003791,0.214901,12.794719,0.314094,-0.174685,0.002719,0.011857,0.027221,0.033145,0.013034,0.026338,0.225929,0.998828,1.0,0.993359,0.994531,5.0,6.0
23,2026-06-22 08:03:17,36.08,1.0,6,5,1.0,0.998597,0.004268,0.998933,0.003346,0.996189,0.998446,0.00408,1.0,0.01757,0.548483,14.78945,1.565626,-0.095816,0.016446,0.054555,0.045901,0.088662,0.056255,0.06435,0.466618,0.990204,0.999778,0.982225,0.991002,5.0,6.0,0.997986,0.004144,0.999756,0.002612,0.997424,0.999683,0.00325,1.0,0.008775,0.204385,16.067136,0.607009,-0.126918,0.0064,0.012934,0.021783,0.053063,0.015298,0.025609,0.293212,0.994922,1.0,0.989609,0.994297,5.0,6.0
24,2026-06-22 08:03:53,36.08,1.0,6,5,1.0,0.998677,0.004296,0.998788,0.003673,0.996447,0.998705,0.003758,1.0,0.017689,0.544641,14.013321,1.491864,-0.109397,0.014235,0.053977,0.040004,0.065902,0.055308,0.04883,0.417705,0.993972,0.999557,0.986968,0.992465,5.0,6.0,0.999072,0.003647,0.996912,0.005708,0.996021,0.999634,0.002151,1.0,0.003858,0.180708,13.23772,0.62504,-0.193016,0.014986,0.011216,0.017867,0.028142,0.011596,0.018714,0.242266,0.997656,1.0,0.996875,0.999219,5.0,6.0
25,2026-06-22 08:04:29,36.08,1.0,6,5,1.0,0.999349,0.002827,0.9991,0.002643,0.998015,0.999449,0.002539,1.0,0.016554,0.543471,12.457222,1.336612,-0.101446,0.007767,0.053798,0.038068,0.059262,0.055088,0.050675,0.379156,0.9957,0.999468,0.989495,0.993395,5.0,6.0,1.0,0.001588,0.998169,0.003861,0.998169,1.0,0.001295,1.0,0.003164,0.179726,11.175154,0.397836,-0.072493,0.006099,0.013349,0.022413,0.037764,0.015127,0.026163,0.223492,0.997266,1.0,0.992969,0.99375,5.0,6.0
26,2026-06-22 08:05:10,41.14,1.0,8,10,1.5,0.999661,0.001893,0.999654,0.001652,0.999093,0.999751,0.001686,1.0,0.016193,0.605227,11.052958,1.150556,-0.183675,0.003507,0.053276,0.032804,0.085985,0.054524,0.081666,0.479113,0.994335,0.999601,0.989504,0.993338,10.0,8.0,0.999939,0.000671,1.0,0.000585,0.999939,1.0,0.000444,1.0,0.003159,0.189136,11.257793,0.14672,-0.049643,0.000421,0.010595,0.024042,0.050214,0.011848,0.037279,0.269227,0.997344,1.0,0.994258,0.994648,10.0,8.0
27,2026-06-22 08:05:51,41.24,1.0,8,10,1.5,0.999501,0.001842,0.999661,0.001605,0.998615,0.999328,0.002125,1.0,0.016171,0.580459,10.521628,1.087268,-0.163588,0.006578,0.053053,0.027505,0.05747,0.054107,0.045174,0.402657,0.995585,0.999867,0.991206,0.994433,10.0,8.0,0.999939,0.000686,1.0,0.00071,0.999573,0.999634,0.001441,1.0,0.002757,0.168392,11.962497,0.13857,-0.182549,0.00109,0.009992,0.011697,0.011709,0.009896,0.010762,0.17994,0.999805,1.0,0.999609,0.999805,10.0,8.0
28,2026-06-22 08:06:33,41.18,1.0,8,10,1.5,0.999432,0.00195,0.999695,0.001548,0.998636,0.99937,0.001946,1.0,0.014747,0.545904,9.799069,1.054189,-0.115277,0.007011,0.053313,0.023876,0.048945,0.053826,0.03451,0.37058,0.997673,0.99949,0.994371,0.996166,10.0,8.0,0.999817,0.000902,0.999695,0.000614,0.999451,0.999939,0.000735,1.0,0.001773,0.151106,9.61477,0.142747,-0.094611,0.001273,0.010314,0.019693,0.019585,0.010876,0.026382,0.189708,0.998047,1.0,0.996875,0.997266,10.0,8.0
29,2026-06-22 08:07:14,41.2,1.0,8,10,1.5,0.999373,0.001672,0.999626,0.001642,0.998548,0.999377,0.001685,1.0,0.014248,0.543692,9.298055,0.925857,-0.211811,0.006934,0.053058,0.021582,0.049774,0.053873,0.045437,0.365277,0.996609,0.999623,0.994127,0.99652,10.0,8.0,0.997534,0.003825,0.998828,0.002271,0.994226,0.997253,0.004061,1.0,0.00205,0.148236,10.086919,0.651463,-0.04325,0.03289,0.00975,0.027533,0.044636,0.010595,0.04241,0.325187,0.998047,1.0,0.993906,0.993906,10.0,8.0
30,2026-06-22 08:07:55,41.08,1.0,8,10,1.5,0.999571,0.001981,0.999113,0.002302,0.998047,0.999273,0.002115,1.0,0.015907,0.536831,9.037451,0.990207,-0.159831,0.007526,0.053037,0.019195,0.045879,0.053847,0.032367,0.350088,0.997828,0.999557,0.994459,0.995988,10.0,8.0,0.999316,0.001335,0.999695,0.000773,0.999011,0.999878,0.000739,1.0,0.001169,0.129896,9.156338,0.1288,-0.140275,0.003867,0.008909,0.021345,0.056176,0.010804,0.043592,0.253722,0.998828,1.0,0.989648,0.99043,10.0,8.0
31,2026-06-22 08:08:36,41.12,1.0,8,10,1.5,0.998767,0.00248,0.99901,0.002515,0.997257,0.999307,0.002081,1.0,0.014714,0.52678,8.625334,0.953849,-0.199543,0.012286,0.052654,0.017787,0.049639,0.053319,0.035645,0.357867,0.996941,1.0,0.994238,0.99621,10.0,8.0,0.999817,0.001492,0.999268,0.00115,0.999023,0.999878,0.001132,1.0,0.002774,0.127687,9.270889,0.246542,0.010939,0.006377,0.008746,0.013359,0.00976,0.008978,0.005482,0.164419,0.999023,1.0,0.998047,0.999023,10.0,8.0
32,2026-06-22 08:09:17,41.2,1.0,8,10,1.5,0.998663,0.002292,0.999571,0.001829,0.99744,0.99904,0.002326,1.0,0.015094,0.523049,8.23019,0.918463,-0.201391,0.011698,0.052772,0.013552,0.028466,0.053122,0.022035,0.306449,0.997806,0.999778,0.996121,0.99785,10.0,8.0,0.999268,0.001176,0.999634,0.000884,0.998596,0.999695,0.001083,1.0,0.001431,0.117585,8.133889,0.194481,-0.094023,0.003893,0.00832,0.00866,0.005551,0.008118,0.005736,0.129874,1.0,1.0,0.999219,0.999219,10.0,8.0
33,2026-06-22 08:09:59,41.15,1.0,8,10,1.5,0.999359,0.001701,0.999424,0.001838,0.998281,0.999345,0.001747,1.0,0.014696,0.501464,7.981222,0.844531,-0.168975,0.006799,0.052728,0.015521,0.033911,0.052999,0.029917,0.307465,0.998249,0.999889,0.996188,0.997274,10.0,8.0,0.999841,0.00063,1.0,0.00092,0.999414,0.999573,0.000849,1.0,0.001006,0.102311,7.594334,0.12097,-0.113735,0.001792,0.009559,0.007077,0.007565,0.009686,0.008727,0.122038,0.999219,1.0,0.999023,0.999805,10.0,8.0
34,2026-06-22 08:10:40,41.27,1.0,8,10,1.5,0.999418,0.001409,0.999633,0.001355,0.998802,0.999668,0.001348,1.0,0.013,0.536065,7.469414,0.71887,-0.299784,0.005189,0.052459,0.013238,0.030346,0.052819,0.015258,0.2747,0.998183,1.0,0.996454,0.997762,10.0,8.0,0.999902,0.000563,0.999695,0.001311,0.999597,1.0,0.000819,1.0,0.00076,0.103047,6.837352,0.094773,-0.057481,0.001238,0.008489,0.008665,0.012834,0.00933,0.011917,0.126333,0.998828,1.0,0.998828,0.998828,10.0,8.0
35,2026-06-22 08:11:21,41.12,1.0,8,10,1.5,0.999868,0.000939,0.999578,0.001286,0.998933,0.999446,0.001367,1.0,0.012249,0.484073,7.084682,0.656896,-0.171835,0.004212,0.052509,0.00872,0.026422,0.052517,0.027901,0.26864,0.999025,0.999778,0.997717,0.998316,10.0,8.0,0.999939,0.000389,0.999805,0.000992,0.9995,0.999756,0.00079,1.0,0.000605,0.088933,6.5843,0.074408,-0.008802,0.001373,0.007445,0.004697,0.022456,0.007735,0.032057,0.149485,0.999414,1.0,0.996875,0.996875,10.0,8.0
36,2026-06-22 08:12:02,41.21,1.0,8,10,1.5,0.999751,0.000949,0.999785,0.000921,0.999107,0.999529,0.001164,1.0,0.012298,0.526915,6.576132,0.595627,-0.394411,0.004321,0.052236,0.011208,0.02224,0.052633,0.012951,0.240049,0.998271,1.0,0.997363,0.998781,10.0,8.0,0.999902,0.00035,1.0,0.000409,0.999414,0.999512,0.000513,1.0,0.00133,0.082727,7.100663,0.088572,-0.126881,0.001729,0.011739,0.003798,0.004431,0.011837,0.003944,0.105764,0.999805,1.0,0.999414,0.999609,10.0,8.0
37,2026-06-22 08:12:44,41.19,1.0,8,10,1.5,0.999515,0.001188,0.999522,0.001212,0.998705,0.999598,0.001164,1.0,0.011428,0.512106,6.694502,0.601298,-0.302399,0.006346,0.052334,0.012445,0.04778,0.053007,0.035377,0.304641,0.997097,1.0,0.995257,0.997363,10.0,8.0,1.0,0.000557,1.0,0.000502,0.999878,0.999878,0.000535,1.0,0.000773,0.08803,5.962736,0.053324,0.116645,0.000549,0.007452,0.003178,0.003207,0.007348,0.003195,0.095486,1.0,1.0,0.999609,0.999609,10.0,8.0
38,2026-06-22 08:13:25,41.13,1.0,8,10,1.5,0.999626,0.001087,0.999688,0.001132,0.998393,0.999023,0.001477,1.0,0.011933,0.516378,6.448717,0.635675,-0.324135,0.009197,0.052285,0.013255,0.035795,0.052844,0.028826,0.285634,0.997784,0.999867,0.995612,0.997407,10.0,8.0,0.999805,0.000407,0.999939,0.000451,0.999683,0.999939,0.000323,1.0,0.000407,0.084395,6.731295,0.074084,0.039177,0.000939,0.007227,0.002212,0.002793,0.00698,0.002499,0.097764,1.0,1.0,1.0,1.0,10.0,8.0
39,2026-06-22 08:14:06,41.27,1.0,8,10,1.5,0.999744,0.000818,0.999712,0.000977,0.999158,0.999674,0.000834,1.0,0.010988,0.522697,6.082062,0.503998,-0.365342,0.003426,0.052122,0.009061,0.020391,0.052405,0.016434,0.230125,0.999091,0.999801,0.997473,0.998138,10.0,8.0,0.999841,0.00049,0.999939,0.000401,0.99978,1.0,0.000174,1.0,0.000168,0.085086,5.677011,0.068549,0.036834,0.000604,0.007697,0.006641,0.005818,0.007768,0.00558,0.097318,1.0,1.0,0.998828,0.998828,10.0,8.0
40,2026-06-22 08:14:47,41.19,1.0,8,10,1.5,0.999715,0.000863,0.999889,0.000618,0.999514,0.999868,0.000592,1.0,0.010052,0.537701,5.844008,0.44011,-0.512822,0.001866,0.052018,0.007494,0.014048,0.052166,0.015009,0.205202,0.999402,0.999823,0.998715,0.999202,10.0,8.0,1.0,0.000306,1.0,0.000368,0.999939,0.999939,0.00019,1.0,0.000193,0.074891,6.185163,0.039661,-0.053945,0.000231,0.007447,0.003855,0.005433,0.007307,0.002196,0.08985,0.999414,1.0,0.999414,1.0,10.0,8.0
