epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
23,2026-06-19 17:49:34,34.29,1.0,6,5,1.0,0.99909,0.003686,0.998929,0.003366,0.997264,0.999095,0.003914,1.0,0.017609,0.509267,13.971287,1.499881,0.010501,0.054363,0.042201,0.068084,0.055947,0.058511,0.420517,0.994016,0.999645,0.986968,0.99242,5.0,6.0,0.99917,0.002442,0.999695,0.002606,0.996204,0.997339,0.002844,1.0,0.004792,0.183701,14.713056,0.495274,0.019424,0.012149,0.017969,0.02288,0.012216,0.019653,0.269565,1.0,1.0,0.998203,0.998203,5.0,6.0
24,2026-06-19 17:50:08,34.45,1.0,6,5,1.0,0.999328,0.00303,0.999342,0.002964,0.997804,0.999051,0.003182,1.0,0.015561,0.504517,13.134487,1.306906,0.008831,0.054541,0.040642,0.070102,0.056011,0.04443,0.398179,0.993307,0.999601,0.98781,0.994282,5.0,6.0,0.999841,0.001305,0.999817,0.001279,0.998071,0.998291,0.002556,1.0,0.004321,0.179174,13.109462,0.32407,0.009894,0.011244,0.034374,0.036042,0.01334,0.044555,0.264376,0.996484,1.0,0.994922,0.997266,5.0,6.0
25,2026-06-19 17:50:43,34.32,1.0,6,5,1.0,0.998888,0.003407,0.998895,0.003072,0.99682,0.998753,0.002993,1.0,0.015353,0.496185,11.962234,1.314739,0.013523,0.053496,0.033471,0.0566,0.05462,0.04267,0.375917,0.995168,0.999557,0.989805,0.994282,5.0,6.0,0.998376,0.00403,0.999573,0.002742,0.997949,0.999939,0.001181,1.0,0.003598,0.167863,11.459452,0.384017,0.007846,0.011501,0.027948,0.045801,0.013363,0.033014,0.244547,0.996484,1.0,0.990234,0.992969,5.0,6.0
26,2026-06-19 17:51:22,39.16,1.0,8,10,1.5,0.999349,0.002586,0.998975,0.003442,0.997951,0.999496,0.002102,1.0,0.017258,0.530589,11.64037,1.149985,0.008232,0.053401,0.034401,0.07362,0.05474,0.069502,0.470215,0.99469,0.999579,0.989796,0.993874,10.0,8.0,0.999561,0.001557,1.0,0.000817,0.9995,0.999939,0.00066,1.0,0.002686,0.195184,11.347828,0.21006,0.001806,0.011521,0.021521,0.039612,0.01253,0.037815,0.260694,0.998203,1.0,0.993281,0.994688,10.0,8.0
27,2026-06-19 17:52:01,39.21,1.0,8,10,1.5,0.999553,0.001849,0.999594,0.001656,0.998618,0.999328,0.00198,1.0,0.014131,0.508955,10.532375,1.02835,0.006132,0.054036,0.027942,0.052588,0.054947,0.034928,0.387553,0.996254,0.999823,0.992531,0.995567,10.0,8.0,1.0,0.00102,0.999878,0.000916,0.999451,0.999573,0.001459,1.0,0.003187,0.153947,9.684659,0.131785,0.001443,0.01018,0.015225,0.016034,0.010391,0.013269,0.177023,0.999609,1.0,0.997461,0.997852,10.0,8.0
28,2026-06-19 17:52:40,39.14,1.0,8,10,1.5,0.999107,0.002683,0.999439,0.002148,0.997964,0.99928,0.002444,1.0,0.01306,0.491016,10.281689,1.04459,0.008441,0.053389,0.027971,0.064628,0.054434,0.048945,0.415759,0.995944,0.999823,0.991068,0.993861,10.0,8.0,0.999841,0.001149,0.999512,0.001616,0.998987,0.999573,0.001476,1.0,0.002182,0.155,9.419977,0.212844,0.003377,0.011996,0.013648,0.015698,0.012333,0.011718,0.179184,0.999609,1.0,0.998438,0.998438,10.0,8.0
29,2026-06-19 17:53:20,39.28,1.0,8,10,1.5,0.999432,0.001758,0.999359,0.002108,0.998264,0.999321,0.002066,1.0,0.013324,0.477382,9.342725,1.040866,0.007831,0.052889,0.022357,0.056015,0.053778,0.051258,0.387653,0.996254,0.999047,0.992442,0.995434,10.0,8.0,0.999719,0.002245,0.999756,0.002132,0.997986,0.99845,0.003152,1.0,0.002031,0.150619,9.653938,0.217858,0.009982,0.009123,0.018098,0.049138,0.009622,0.042374,0.26737,0.995508,1.0,0.993945,0.99668,10.0,8.0
30,2026-06-19 17:53:59,39.25,1.0,8,10,1.5,0.998911,0.003001,0.999356,0.002605,0.997194,0.998871,0.002999,1.0,0.016122,0.471457,9.216676,1.050468,0.011043,0.052977,0.018831,0.048191,0.053405,0.050425,0.378016,0.996786,0.999778,0.994193,0.996299,10.0,8.0,0.999561,0.001181,1.0,0.000867,0.998645,0.999084,0.001708,1.0,0.002208,0.134741,8.875385,0.173051,0.00544,0.009266,0.009819,0.025667,0.010041,0.021949,0.191721,0.999414,1.0,0.994922,0.995508,10.0,8.0
31,2026-06-19 17:54:38,39.19,1.0,8,10,1.5,0.999303,0.00249,0.998726,0.00274,0.997343,0.99912,0.00247,1.0,0.013214,0.448059,8.685431,1.044059,0.011906,0.053112,0.019802,0.064723,0.053889,0.058097,0.4028,0.996254,0.999335,0.993816,0.996321,10.0,8.0,0.997998,0.002111,0.998987,0.001874,0.99635,0.999084,0.001783,1.0,0.00108,0.126207,9.093503,0.397629,0.018947,0.00896,0.0066,0.010646,0.008698,0.028599,0.2031,0.998828,1.0,0.998828,0.999609,10.0,8.0
32,2026-06-19 17:55:17,39.23,1.0,8,10,1.5,0.999661,0.001365,0.999598,0.001655,0.998933,0.999605,0.001332,1.0,0.012951,0.437119,8.092587,0.794038,0.004575,0.052417,0.01329,0.024575,0.052682,0.018362,0.279875,0.998027,1.0,0.997363,0.998825,10.0,8.0,0.999475,0.000771,0.999939,0.000736,0.999414,1.0,0.000361,1.0,0.001321,0.108183,8.023669,0.104208,0.002043,0.008573,0.005366,0.007604,0.008731,0.00506,0.127681,0.999609,1.0,0.999219,0.999219,10.0,8.0
33,2026-06-19 17:55:56,39.17,1.0,8,10,1.5,0.999771,0.000969,0.999917,0.000893,0.999481,0.999716,0.000912,1.0,0.012589,0.421589,7.83703,0.694969,0.004416,0.052573,0.019739,0.039074,0.053226,0.026278,0.306366,0.99723,1.0,0.994605,0.996755,10.0,8.0,0.999902,0.000312,1.0,0.000217,0.999902,1.0,0.000267,1.0,0.001229,0.107495,7.437373,0.07176,0.000466,0.00911,0.005792,0.008318,0.009492,0.008194,0.1225,0.999805,1.0,0.999023,0.999023,10.0,8.0
34,2026-06-19 17:56:36,39.27,1.0,8,10,1.5,0.999758,0.000991,0.999857,0.00082,0.999062,0.999388,0.000936,1.0,0.012055,0.415149,7.458515,0.65822,0.005584,0.052364,0.014497,0.035875,0.052929,0.024871,0.293266,0.997473,1.0,0.995523,0.997097,10.0,8.0,0.997803,0.003266,0.998193,0.003348,0.9875,0.990527,0.005033,1.0,0.002255,0.114932,6.835804,0.655658,0.072019,0.010323,0.01265,0.043714,0.008717,0.057034,0.367213,0.998828,1.0,0.995508,0.995508,10.0,8.0
35,2026-06-19 17:57:15,39.2,1.0,8,10,1.5,0.99903,0.002023,0.999397,0.001866,0.997583,0.99903,0.001989,1.0,0.012633,0.411233,7.280552,0.791733,0.011234,0.052701,0.01516,0.045323,0.053129,0.037666,0.329822,0.997917,1.0,0.995279,0.996476,10.0,8.0,0.999536,0.001474,0.999756,0.001093,0.997766,0.998474,0.001664,1.0,0.000854,0.102534,7.165061,0.222733,0.011271,0.010849,0.00621,0.017981,0.010965,0.027657,0.175177,0.999023,1.0,0.998047,0.998047,10.0,8.0
36,2026-06-19 17:57:54,39.21,1.0,8,10,1.5,0.999137,0.001896,0.999467,0.00177,0.997807,0.999017,0.001825,1.0,0.012311,0.397762,6.867022,0.785234,0.010336,0.052482,0.010468,0.02131,0.052621,0.012246,0.263223,0.998382,1.0,0.997451,0.998604,10.0,8.0,0.999597,0.000943,0.999695,0.000909,0.997644,0.998071,0.002908,1.0,0.000318,0.090431,6.533826,0.217921,0.008557,0.008115,0.008087,0.02629,0.008472,0.035397,0.178409,0.999023,1.0,0.997656,0.997656,10.0,8.0
37,2026-06-19 17:58:34,39.29,1.0,8,10,1.5,0.999647,0.001136,0.999421,0.001804,0.998084,0.998947,0.001753,1.0,0.011867,0.391892,6.747572,0.70167,0.008162,0.052325,0.011672,0.03691,0.052732,0.033613,0.295622,0.998293,0.999778,0.996875,0.997695,10.0,8.0,0.999805,0.000381,1.0,0.000653,0.999744,0.999939,0.000482,1.0,0.000872,0.07972,6.114786,0.100998,0.000984,0.00795,0.004394,0.004421,0.008069,0.004651,0.096811,1.0,1.0,0.999609,0.999609,10.0,8.0
38,2026-06-19 17:59:13,39.24,1.0,8,10,1.5,0.999952,0.000525,0.99982,0.000801,0.999591,0.999799,0.000681,1.0,0.010886,0.376333,6.284829,0.505211,0.001674,0.052141,0.011631,0.030882,0.052641,0.026723,0.257838,0.997784,1.0,0.996964,0.998404,10.0,8.0,0.999756,0.000511,0.999939,0.000271,0.999695,1.0,0.000133,1.0,0.000914,0.077106,6.364323,0.067092,0.00083,0.007341,0.001728,0.002447,0.007143,0.002268,0.090325,1.0,1.0,1.0,1.0,10.0,8.0
39,2026-06-19 17:59:52,39.24,1.0,8,10,1.5,0.99955,0.001285,0.999855,0.000808,0.998907,0.999468,0.000853,1.0,0.010895,0.373925,5.985985,0.536894,0.005516,0.052115,0.008285,0.01363,0.052295,0.013432,0.224302,0.999335,0.999978,0.998493,0.998958,10.0,8.0,0.999658,0.000485,0.999817,0.00044,0.999475,1.0,0.000145,1.0,0.000705,0.071182,5.981897,0.076706,0.001224,0.007336,0.007251,0.015051,0.007756,0.010405,0.116435,0.999023,1.0,0.997461,0.998047,10.0,8.0
40,2026-06-19 18:00:31,39.25,1.0,8,10,1.5,0.999705,0.000997,0.999799,0.000756,0.999122,0.9995,0.000797,1.0,0.009437,0.359751,5.959859,0.515695,0.005018,0.052054,0.012723,0.038798,0.052524,0.038159,0.280535,0.998426,0.999601,0.997052,0.998116,10.0,8.0,0.999744,0.000618,1.0,0.000447,0.999683,0.999939,0.000211,1.0,0.00122,0.084955,5.359043,0.087078,0.00099,0.007397,0.005812,0.005611,0.007434,0.007412,0.093783,1.0,1.0,0.999609,0.999609,10.0,8.0
