epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_logvar_coupling,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_logvar_coupling,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
21,2026-06-22 14:27:51,31.68,1.0,6,5,1.0,0.989841,0.030439,0.995914,0.014895,0.983941,0.989556,0.030311,1.0,0.021261,0.503259,15.436233,2.92483,-0.930633,0.073554,0.180546,0.044007,0.068353,0.181871,0.049299,0.666354,0.994326,0.999734,0.988165,0.992908,5.0,6.0,0.977527,0.034977,0.991748,0.019406,0.9703,0.979065,0.038295,1.0,0.018065,0.227351,13.592671,3.199203,0.0,0.22989,0.0,0.028946,0.111771,0.030924,0.041715,0.850408,0.992578,1.0,0.985156,0.990234,5.0,6.0
22,2026-06-22 14:28:22,31.66,1.0,6,5,1.0,0.990011,0.030166,0.995314,0.014254,0.983655,0.989238,0.030193,1.0,0.021561,0.493648,14.411499,2.925365,-0.923392,0.075497,0.182932,0.039908,0.073672,0.18344,0.050139,0.66516,0.994043,0.999335,0.987837,0.992996,5.0,6.0,0.953613,0.059946,0.948169,0.044184,0.916309,0.962866,0.055044,1.0,0.020901,0.311099,13.600717,7.038327,0.0,0.703327,0.0,0.095214,0.660932,0.044963,0.455812,2.679735,0.96875,0.96875,0.943906,0.972031,5.0,6.0
23,2026-06-22 14:28:54,31.82,1.0,6,5,1.0,0.990934,0.028052,0.995893,0.013882,0.985177,0.990031,0.027702,1.0,0.020015,0.501952,13.881042,2.676659,-0.928399,0.064681,0.182191,0.041487,0.0685,0.182792,0.058422,0.632432,0.994902,0.999823,0.988342,0.992154,5.0,6.0,0.990503,0.026374,0.997241,0.012103,0.987329,0.99126,0.026551,1.0,0.015269,0.170605,14.195169,2.091644,0.0,0.054992,0.0,0.032827,0.050062,0.040619,0.034501,0.419445,0.997031,1.0,0.988281,0.990859,5.0,6.0
24,2026-06-22 14:29:26,31.63,1.0,6,5,1.0,0.99087,0.026893,0.99684,0.012185,0.985487,0.990261,0.026732,1.0,0.020154,0.500897,13.041821,2.584638,-0.928979,0.061684,0.177756,0.038275,0.06746,0.179342,0.042969,0.601797,0.993794,0.999557,0.988918,0.994504,5.0,6.0,0.989941,0.025341,0.99624,0.011176,0.985217,0.990759,0.024862,1.0,0.009598,0.16442,13.103726,2.055802,0.0,0.063224,0.0,0.036965,0.04013,0.03177,0.053694,0.419268,0.995703,1.0,0.994922,0.997266,5.0,6.0
25,2026-06-22 14:29:58,31.65,1.0,6,5,1.0,0.990478,0.02625,0.996225,0.012289,0.985106,0.990219,0.026028,1.0,0.02031,0.50053,12.389822,2.582609,-0.924247,0.064113,0.180244,0.033314,0.039709,0.181058,0.033741,0.567597,0.997207,0.999867,0.993129,0.9957,5.0,6.0,0.991187,0.022762,0.998438,0.00808,0.989258,0.992944,0.022347,1.0,0.010409,0.128087,11.967959,1.780042,0.0,0.044134,0.0,0.034457,0.014751,0.016219,0.011352,0.305244,0.999609,1.0,0.998984,0.999375,5.0,6.0
26,2026-06-22 14:30:35,36.77,1.0,8,10,1.5,0.990359,0.026215,0.995743,0.012691,0.984462,0.989405,0.026399,1.0,0.021007,0.555816,11.895148,2.575514,-0.932705,0.071099,0.18257,0.039451,0.064612,0.183204,0.059924,0.728045,0.995146,1.0,0.991157,0.994659,10.0,8.0,0.976526,0.039098,0.984229,0.024299,0.960571,0.976501,0.038805,1.0,0.016334,0.216714,11.368773,4.070122,0.0,0.212465,0.0,0.023664,0.116023,0.024551,0.166223,0.981455,0.994336,0.998047,0.988555,0.992461,10.0,8.0
27,2026-06-22 14:31:11,36.58,1.0,8,10,1.5,0.991009,0.025468,0.996144,0.011895,0.985709,0.990736,0.024437,1.0,0.019806,0.559603,11.220622,2.485394,-0.934717,0.062537,0.181261,0.033368,0.068343,0.182401,0.061821,0.703493,0.996033,0.999269,0.992176,0.994858,10.0,8.0,0.990808,0.025427,0.999084,0.009464,0.984851,0.989197,0.025242,1.0,0.011376,0.160209,10.714818,1.96737,0.0,0.06185,0.0,0.032081,0.073358,0.04358,0.050225,0.49408,0.998242,1.0,0.992578,0.993164,10.0,8.0
28,2026-06-22 14:31:48,36.59,1.0,8,10,1.5,0.991131,0.024394,0.996315,0.012048,0.985738,0.990158,0.024181,1.0,0.019074,0.560594,10.720788,2.416307,-0.938267,0.063862,0.180982,0.026492,0.056718,0.181699,0.052962,0.669559,0.996543,0.999778,0.993262,0.995678,10.0,8.0,0.980078,0.032025,0.993689,0.0138,0.966541,0.977222,0.033677,1.0,0.012397,0.165966,10.654902,3.189561,0.0,0.212366,0.0,0.017452,0.042566,0.033495,0.033421,0.742514,0.99668,1.0,0.994336,0.996484,10.0,8.0
29,2026-06-22 14:32:25,36.85,1.0,8,10,1.5,0.99198,0.022355,0.997354,0.009893,0.987708,0.991629,0.022324,1.0,0.018815,0.552336,9.970354,2.258686,-0.944023,0.051579,0.1784,0.02303,0.044853,0.17858,0.039126,0.598744,0.997407,1.0,0.994991,0.996786,10.0,8.0,0.992603,0.021513,0.998779,0.007389,0.987952,0.99137,0.022423,1.0,0.008694,0.123558,9.776977,1.729257,0.0,0.042018,0.0,0.01099,0.015517,0.016403,0.016962,0.287896,0.998828,1.0,0.997852,0.998047,10.0,8.0
30,2026-06-22 14:33:01,36.55,1.0,8,10,1.5,0.991417,0.022202,0.997069,0.009258,0.987044,0.990938,0.022071,1.0,0.018215,0.54713,9.775783,2.302166,-0.942724,0.058517,0.176179,0.020695,0.055031,0.176733,0.049825,0.629952,0.996587,0.999601,0.994504,0.99672,10.0,8.0,0.985425,0.025314,0.994861,0.013315,0.98053,0.987659,0.0266,1.0,0.010602,0.149171,9.12261,2.659513,0.0,0.098679,0.0,0.013626,0.039186,0.031594,0.0615,0.498693,0.998242,1.0,0.99707,0.99707,10.0,8.0
31,2026-06-22 14:33:38,36.54,1.0,8,10,1.5,0.991535,0.022266,0.997117,0.009753,0.986625,0.99084,0.022306,1.0,0.019414,0.551629,9.206447,2.21821,-0.945756,0.055722,0.180581,0.015676,0.037982,0.180703,0.035995,0.583117,0.99754,0.999978,0.996277,0.99805,10.0,8.0,0.992505,0.021972,0.998096,0.00847,0.987659,0.991882,0.020953,1.0,0.010378,0.105948,8.612204,1.598459,0.0,0.04352,0.0,0.011,0.027741,0.014436,0.029973,0.302007,0.997852,1.0,0.994727,0.995703,10.0,8.0
32,2026-06-22 14:34:14,36.61,1.0,8,10,1.5,0.991376,0.022189,0.996398,0.00978,0.986479,0.990992,0.021684,1.0,0.019237,0.547431,8.611644,2.27953,-0.944989,0.063004,0.179687,0.013565,0.019209,0.179597,0.017787,0.547849,0.998892,1.0,0.998027,0.998803,10.0,8.0,0.991345,0.020773,0.997559,0.007225,0.988965,0.992847,0.019857,1.0,0.008528,0.110335,8.741948,1.59226,0.0,0.041862,0.0,0.011617,0.014482,0.015649,0.015332,0.270253,0.999609,1.0,0.998242,0.998242,10.0,8.0
33,2026-06-22 14:34:53,38.65,1.0,8,10,1.5,0.991771,0.020831,0.997347,0.008489,0.987409,0.991482,0.020479,1.0,0.016907,0.547964,8.718027,2.099582,-0.946574,0.051834,0.17871,0.018795,0.05137,0.179081,0.054833,0.601322,0.997473,0.999601,0.994548,0.995944,10.0,8.0,0.990625,0.021243,0.997021,0.00814,0.985986,0.990173,0.020689,1.0,0.007522,0.118673,7.789769,1.939157,0.0,0.061881,0.0,0.008066,0.0259,0.024683,0.015266,0.329428,0.999805,1.0,0.997461,0.997461,10.0,8.0
34,2026-06-22 14:35:34,40.71,1.0,8,10,1.5,0.992255,0.019494,0.997798,0.007603,0.98829,0.99202,0.019671,1.0,0.01634,0.550598,7.978692,1.983748,-0.951293,0.049471,0.177426,0.012156,0.025265,0.17751,0.020819,0.515275,0.998644,1.0,0.997265,0.998311,10.0,8.0,0.986853,0.024369,0.991406,0.010771,0.975647,0.985437,0.021948,1.0,0.006077,0.12373,7.638562,2.798719,0.0,0.125041,0.0,0.005686,0.010625,0.020456,0.030372,0.454963,0.998828,1.0,0.99707,0.998242,10.0,8.0
35,2026-06-22 14:36:10,36.32,1.0,8,10,1.5,0.991488,0.021085,0.996696,0.008825,0.986954,0.991115,0.020675,1.0,0.0172,0.547021,7.781688,2.13909,-0.950029,0.058488,0.181278,0.014773,0.038144,0.181392,0.039456,0.574507,0.997629,1.0,0.996033,0.997385,10.0,8.0,0.966016,0.033876,0.981848,0.0185,0.944727,0.964331,0.037429,1.0,0.012297,0.13544,8.450914,4.831608,0.0,0.484002,0.0,0.042295,0.280145,0.021523,0.313171,1.869338,0.990039,0.996094,0.983789,0.987695,10.0,8.0
36,2026-06-22 14:36:47,36.49,1.0,8,10,1.5,0.991232,0.020853,0.996574,0.009687,0.986194,0.99079,0.02125,1.0,0.017888,0.544508,7.598905,2.123573,-0.944191,0.064905,0.183345,0.013123,0.034077,0.183354,0.030101,0.5736,0.997859,0.999778,0.996241,0.997496,10.0,8.0,0.991919,0.020394,0.997742,0.00735,0.986572,0.990393,0.021236,1.0,0.009818,0.08892,7.452076,1.760353,0.0,0.049965,0.0,0.004302,0.00822,0.012848,0.007084,0.252002,0.999609,1.0,0.999609,1.0,10.0,8.0
37,2026-06-22 14:37:23,36.47,1.0,8,10,1.5,0.992003,0.019377,0.997579,0.007672,0.98776,0.991525,0.019339,1.0,0.017487,0.543125,7.321382,2.001706,-0.949478,0.051077,0.180086,0.01038,0.026341,0.179965,0.021207,0.515705,0.998471,0.999778,0.997119,0.998293,10.0,8.0,0.986328,0.022975,0.994873,0.007964,0.981067,0.987756,0.020875,1.0,0.0076,0.090435,6.635861,2.370156,0.0,0.094844,0.0,0.016111,0.070949,0.012198,0.063622,0.490144,0.998047,0.998047,0.994531,0.997461,10.0,8.0
38,2026-06-22 14:38:00,36.49,1.0,8,10,1.5,0.991948,0.019249,0.997285,0.007673,0.987773,0.991617,0.019241,1.0,0.01735,0.55041,6.907817,1.973024,-0.953871,0.052363,0.183666,0.009616,0.024614,0.183716,0.023208,0.516978,0.99887,1.0,0.997739,0.998426,10.0,8.0,0.985889,0.022975,0.994141,0.008613,0.977405,0.986182,0.022767,1.0,0.006246,0.104825,6.470442,2.925606,0.0,0.130157,0.0,0.013548,0.069699,0.019578,0.04193,0.556728,0.99668,0.999609,0.993164,0.995313,10.0,8.0
39,2026-06-22 14:38:36,36.48,1.0,8,10,1.5,0.991969,0.019923,0.996767,0.008516,0.987579,0.991586,0.018902,1.0,0.016753,0.559459,6.952631,2.013074,-0.950931,0.05451,0.178623,0.027889,0.091201,0.179778,0.059863,0.658993,0.992775,0.999113,0.989495,0.995257,10.0,8.0,0.989246,0.020776,0.995422,0.007931,0.983594,0.987231,0.02033,1.0,0.008381,0.124941,7.52182,2.415078,0.0,0.089739,0.0,0.012402,0.016797,0.014551,0.025042,0.382197,0.999023,1.0,0.998242,0.998242,10.0,8.0
40,2026-06-22 14:39:13,36.49,1.0,8,10,1.5,0.992642,0.01798,0.997883,0.006686,0.988821,0.991887,0.018171,1.0,0.015038,0.555326,6.577581,1.836182,-0.956793,0.045009,0.175766,0.008697,0.02537,0.175978,0.026068,0.488717,0.99898,0.999579,0.998072,0.998737,10.0,8.0,0.983936,0.024102,0.989014,0.015056,0.972314,0.983826,0.023674,1.0,0.00703,0.099866,5.933698,3.75326,0.0,0.155829,0.0,0.027198,0.145705,0.028762,0.092213,0.787842,0.994336,0.998047,0.991211,0.991797,10.0,8.0
